state,round,year,area,section,indicator,harmonized_indicator,value,data_flag,source
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),Child fully vaccinated (card or recall) (%),83.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),Child fully vaccinated (card or recall) (%),82.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),,85.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),,87.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),,87.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received any vaccine (%),,95.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received any vaccine (%),,96.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received any vaccine (%),,96.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),Child received BCG (%),94.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),Child received BCG (%),95.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),Child received BCG (%),95.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),Child received 3 doses polio (%),83.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),Child received 3 doses polio (%),85.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),Child received 3 doses polio (%),85.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),,88.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),,89.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),,89.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Child received measles/MCV 1st dose (%),91.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Child received measles/MCV 1st dose (%),91.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Child received measles/MCV 1st dose (%),91.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),,71.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),,72.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),,71.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),,80.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),,76.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),,77.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),,84.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),,85.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),,85.4,,NFHS-6 PDF
